SAMPLE_ID	mutations	cna	structural_variants
PR-07-3258	WGS	WGS	WGS
PR-STID0000002682	WGS	WGS	WGS
P07-837	WGS	WGS	WGS
PR-02-1431	WGS	WGS	WGS
P04-1084	WGS	WGS	WGS
PR-06-1749	WGS	WGS	WGS
P08-5852	WGS	WGS	WGS
PR-03-3125	WGS	WGS	WGS
PR-STID0000002872	WGS	WGS	WGS
PR-09-146	WGS	WGS	WGS
PR-07-360	WGS	WGS	WGS
P08-688	WGS	WGS	WGS
P01-28	WGS	WGS	WGS
P05-3852	WGS	WGS	WGS
PR-2621	WGS	WGS	WGS
PR-07-4814	WGS	WGS	WGS
PR-2525	WGS	WGS	WGS
PR-7520	WGS	NA	WGS
PR-3042	WGS	WGS	WGS
P07-5318	WGS	WGS	WGS
P08-716	WGS	WGS	WGS
P07-5021	WGS	WGS	WGS
PR-08-2153	WGS	WGS	WGS
PR-08-784	WGS	WGS	WGS
P05-620	WGS	WGS	WGS
PR-07-4610	WGS	WGS	WGS
P08-1042	WGS	WGS	WGS
P09-1042	WGS	WGS	WGS
PR-2741	WGS	WGS	WGS
PR-06-3199	WGS	WGS	WGS
P05-1657	WGS	WGS	WGS
PR-4240	WGS	WGS	WGS
PR-08-556	WGS	WGS	WGS
P05-2709	WGS	WGS	WGS
PR-05-3595	WGS	WGS	WGS
PR-03-728	WGS	WGS	WGS
PR-0410	WGS	WGS	WGS
PR-08-4154	WGS	WGS	WGS
P07-144	WGS	WGS	WGS
P09-628	WGS	WGS	WGS
P03-2345	WGS	WGS	WGS
P08-217	WGS	WGS	WGS
P09-730	WGS	WGS	WGS
PR-04-1243	WGS	WGS	WGS
PR-STID0000000415	WGS	WGS	WGS
P07-4941	WGS	WGS	WGS
P08-501	WGS	WGS	WGS
P08-492	WGS	WGS	WGS
P09-37	WGS	WGS	WGS
P08-1541	WGS	WGS	WGS
PR-STID0000003127	WGS	WGS	WGS
PR-09-601	WGS	WGS	WGS
PR-08-2455	WGS	WGS	WGS
P09-396	WGS	WGS	WGS
P07-5037	WGS	WGS	WGS
PR-09-3983	WGS	WGS	WGS
P03-1426	WGS	WGS	WGS
